name	start	end	size	instruction_count	direct_calls	import_calls_or_refs	string_refs_sample
sub_005750A0	0x5750a0	0x575110	112	50	sub_005A6CC0	USER32.dll!EndDialog,USER32.dll!IsWindow	f:\sp\vctools\vc7libs\ship\atlmfc\src\mfc\dlgcore.cpp
sub_00575110	0x575110	0x575140	48	19	sub_0055CBB0,sub_00579980		
sub_00575140	0x575140	0x575150	16	12			
sub_00575150	0x575150	0x575270	288	100	sub_004028B0,sub_004028F0,sub_004029C0,sub_00554FB0,sub_0055CBB0,sub_0056FDB0,sub_005750A0,sub_005ACC50		Warning: CreateDlgControls failed during dialog init.\n | f:\sp\vctools\vc7libs\ship\atlmfc\src\mfc\dlgcore.cpp
sub_00575270	0x575270	0x5752e0	112	45	sub_00578F30,sub_00579020		
sub_005752E0	0x5752e0	0x5752f0	16	10			
sub_005752F0	0x5752f0	0x5753f0	256	88	sub_004028B0,sub_004028F0,sub_004029C0,sub_005642E0,sub_005647C0,sub_00564880,sub_0056F060,sub_0056FC40,sub_005750A0,sub_00575270		Warning: ExecuteDlgInit failed during dialog init.\n | f:\sp\vctools\vc7libs\ship\atlmfc\src\mfc\dlgcore.cpp | Warning: UpdateData failed during dialog init.\n | f:\sp\vctools\vc7libs\ship\atlmfc\src\mfc\dlgcore.cpp
sub_005753F0	0x5753f0	0x575450	96	40	sub_004028B0,sub_004028F0,sub_004029C0,sub_005642E0,sub_005750A0		UpdateData failed during dialog termination.\n | f:\sp\vctools\vc7libs\ship\atlmfc\src\mfc\dlgcore.cpp
sub_00575450	0x575450	0x575470	32	21	sub_005750A0		
sub_00575470	0x575470	0x5755a0	304	103	sub_00566A30,sub_00578F70	KERNEL32.dll!FindResourceA,KERNEL32.dll!FreeResource,KERNEL32.dll!LoadResource,KERNEL32.dll!LockResource	
sub_005755A0	0x5755a0	0x575600	96	33	sub_00578F30		
sub_00575600	0x575600	0x575630	48	26			
sub_00575630	0x575630	0x575650	32	22	sub_0055DEB0		
sub_00575650	0x575650	0x575730	224	79	sub_0055E010,sub_005A9280,sub_005A9500,sub_005A95F0,sub_005A9920		m_lpszTemplateName =  | \nm_hDialogTemplate =  | \nm_lpDialogTemplate =  | \nm_pParentWnd =  | \nm_nIDHelp = 
